Instance, Time, BestCost
./instances/gr96.tsp,8.98947,2.09717e+06
./instances/gr96.tsp,8.62003,2.09717e+06
./instances/gr96.tsp,7.76449,2.09717e+06
./instances/gr96.tsp,7.70831,2.09717e+06
./instances/gr96.tsp,8.69334,2.09717e+06
./instances/gr96.tsp,7.00327,2.09717e+06
./instances/kroD100.tsp,12.8476,976965
./instances/kroD100.tsp,9.44902,976965
./instances/kroD100.tsp,10.5826,976972
./instances/kroD100.tsp,11.015,978084
./instances/kroD100.tsp,10.9754,976972
./instances/kroD100.tsp,11.702,976965
./instances/kroD100.tsp,8.54518,976965
./instances/kroD100.tsp,9.51192,978273
./instances/kroD100.tsp,10.2585,976965
./instances/kroD100.tsp,12.5705,976972
./instances/kroD100.tsp,11.1915,976965
./instances/kroD100.tsp,13.3634,976965
./instances/kroD100.tsp,11.772,976965
./instances/kroD100.tsp,14.7134,976965
./instances/kroD100.tsp,8.97729,976965
./instances/kroD100.tsp,12.2263,976965
./instances/kroD100.tsp,12.3309,976965
./instances/kroD100.tsp,10.0905,978273
./instances/kroD100.tsp,9.24648,976965
./instances/kroD100.tsp,10.6628,976965
./instances/lin105.tsp,7.73911,603910
./instances/lin105.tsp,10.836,603910
./instances/lin105.tsp,10.856,603910
./instances/lin105.tsp,11.6468,603910
./instances/lin105.tsp,9.47658,603910
./instances/lin105.tsp,11.1777,603910
./instances/lin105.tsp,11.8588,603910
./instances/lin105.tsp,10.4822,603910
./instances/lin105.tsp,10.4264,603910
./instances/lin105.tsp,11.5029,603910
./instances/lin105.tsp,11.4503,603910
./instances/lin105.tsp,9.39048,603910
./instances/lin105.tsp,8.50855,603910
./instances/lin105.tsp,11.4981,603910
./instances/lin105.tsp,10.3671,603910
./instances/lin105.tsp,11.151,603910
./instances/lin105.tsp,10.4371,603910
./instances/lin105.tsp,10.5512,603910
./instances/lin105.tsp,10.5845,603910
./instances/lin105.tsp,11.9288,603910
./instances/swiss42.tsp,0.164696,22327
./instances/swiss42.tsp,0.161299,22327
./instances/swiss42.tsp,0.159835,22327
./instances/swiss42.tsp,0.175761,22327
./instances/swiss42.tsp,0.177876,22327
./instances/swiss42.tsp,0.173686,22327
./instances/swiss42.tsp,0.174143,22327
./instances/swiss42.tsp,0.175608,22327
./instances/swiss42.tsp,0.179151,22327
./instances/swiss42.tsp,0.177459,22327
./instances/swiss42.tsp,0.176355,22327
./instances/swiss42.tsp,0.186783,22327
./instances/swiss42.tsp,0.179461,22327
./instances/swiss42.tsp,0.186097,22327
./instances/swiss42.tsp,0.173212,22327
./instances/swiss42.tsp,0.170255,22327
./instances/swiss42.tsp,0.172162,22327
./instances/swiss42.tsp,0.169351,22327
./instances/swiss42.tsp,0.177034,22327
./instances/swiss42.tsp,0.169722,22327
./instances/kroA100.tsp,8.50894,983128
./instances/kroA100.tsp,9.60711,983128
./instances/kroA100.tsp,9.77654,983128
./instances/kroA100.tsp,8.56257,983128
./instances/kroA100.tsp,8.43848,983128
./instances/kroA100.tsp,11.249,983128
./instances/kroA100.tsp,11.306,983128
./instances/kroA100.tsp,8.93925,983128
./instances/kroA100.tsp,9.52822,983128
./instances/kroA100.tsp,11.1491,983128
./instances/kroA100.tsp,10.1842,983128
./instances/kroA100.tsp,11.0793,983128
./instances/kroA100.tsp,8.07477,983128
./instances/kroA100.tsp,12.1396,983128
./instances/kroA100.tsp,8.55806,983128
./instances/kroA100.tsp,10.6197,983128
./instances/kroA100.tsp,10.0133,983128
./instances/kroA100.tsp,9.95109,983128
./instances/kroA100.tsp,9.23491,983128
./instances/kroA100.tsp,10.3046,983128
./instances/brazil58.tsp,0.80445,512361
./instances/brazil58.tsp,0.693079,512361
./instances/brazil58.tsp,0.622831,512361
./instances/brazil58.tsp,1.00285,512361
./instances/brazil58.tsp,0.909064,512361
./instances/brazil58.tsp,0.955418,512361
./instances/brazil58.tsp,0.948597,512361
./instances/brazil58.tsp,0.908834,512361
./instances/brazil58.tsp,0.901396,512361
./instances/brazil58.tsp,0.739956,512361
./instances/brazil58.tsp,0.747667,512361
./instances/brazil58.tsp,0.782088,512361
./instances/brazil58.tsp,0.873389,512361
./instances/brazil58.tsp,1.03927,512361
./instances/brazil58.tsp,1.1608,512361
./instances/brazil58.tsp,0.855788,512361
./instances/brazil58.tsp,0.812449,512361
./instances/brazil58.tsp,0.807804,512361
./instances/brazil58.tsp,0.815416,512361
./instances/brazil58.tsp,0.86979,512361
./instances/kroE100.tsp,12.3709,971266
./instances/kroE100.tsp,10.6939,971266
./instances/kroE100.tsp,11.4657,971266
./instances/kroE100.tsp,12.1198,971266
./instances/kroE100.tsp,8.82799,971266
./instances/kroE100.tsp,10.8984,971266
./instances/kroE100.tsp,10.3107,971266
./instances/kroE100.tsp,8.93481,971266
./instances/kroE100.tsp,9.80339,971266
./instances/kroE100.tsp,10.6866,971266
./instances/kroE100.tsp,10.2423,971266
./instances/kroE100.tsp,11.5949,972149
./instances/kroE100.tsp,11.6354,971266
./instances/kroE100.tsp,11.2105,971266
